Date,Open,Low,Close,Volume
2015-09-08,641.0,632.900024,643.880005,1954600
2015-09-09,651.880005,640.900024,643.409973,2041800
2015-09-10,643.900024,641.700012,651.080017,1392500
2015-09-11,650.210022,647.409973,655.299988,1744600
2015-09-14,655.630005,649.5,652.469971,1497100
2015-09-15,656.710022,653.340027,665.070007,1761800
2015-09-16,665.549988,662.200012,665.52002,1312600
2015-09-17,667.48999,665.0,671.669983,2387600
2015-09-18,665.059998,660.030029,660.919983,3592700
2015-09-21,665.51001,658.0,666.97998,1954700
2015-09-22,657.469971,645.030029,653.200012,2718100
2015-09-23,652.900024,650.72998,653.289978,1458000
2015-09-24,648.969971,642.169983,654.909973,1934600
2015-09-25,658.580017,639.659973,640.150024,2424000
2015-09-28,639.049988,617.840027,624.25,2382300
2015-09-29,625.5,618.030029,622.609985,2106500
2015-09-30,631.830017,629.150024,638.369995,2631200
2015-10-01,637.940002,631.119995,642.0,2125300
2015-10-02,638.01001,633.5,656.98999,2439400
2015-10-05,661.599976,655.869995,671.679993,1898000
2015-10-06,669.349976,663.080017,671.640015,2138700
2015-10-07,677.400024,658.109985,670.0,2217700
2015-10-08,669.450012,654.48999,667.0,1965400
2015-10-09,667.48999,662.359985,671.23999,1606200
2015-10-12,669.190002,667.23999,676.429993,1334200
2015-10-13,674.26001,673.109985,683.169983,2122300
2015-10-14,683.72998,678.900024,680.409973,1564600
2015-10-15,685.25,684.390015,693.02002,2357800
2015-10-16,695.400024,689.099976,695.320007,1815800
2015-10-19,694.0,692.210022,699.950012,1508600
2015-10-20,697.890015,673.679993,680.0,2613300
2015-10-21,683.210022,670.700012,671.799988,1597600
2015-10-22,675.440002,671.700012,681.140015,4431600
2015-10-23,750.059998,717.940002,719.330017,6336300
2015-10-26,720.02002,720.02002,731.119995,2438800
2015-10-27,726.570007,724.140015,732.820007,1938900
2015-10-28,733.0,727.27002,736.919983,1980200
2015-10-29,736.630005,735.159973,744.849976,1822800
2015-10-30,745.559998,736.530029,737.390015,1999200
2015-11-02,734.530029,731.450012,747.73999,1995700
2015-11-03,745.429993,741.159973,748.820007,1815300
2015-11-04,749.900024,749.200012,755.309998,2083400
2015-11-05,758.809998,757.469971,760.669983,2274300
2015-11-06,759.390015,755.030029,761.599976,1677200
2015-11-09,758.52002,749.109985,754.77002,1776900
2015-11-10,753.47998,748.409973,758.26001,1489900
2015-11-11,762.380005,759.75,765.25,2093300
2015-11-12,760.179993,755.859985,756.530029,1772600
2015-11-13,754.039978,739.469971,740.070007,2409400
2015-11-16,740.210022,734.330017,750.419983,2535200
2015-11-17,752.469971,744.049988,745.97998,1943200
2015-11-18,749.570007,747.390015,760.01001,1813300
2015-11-19,759.780029,757.22998,759.940002,1403900
2015-11-20,769.299988,764.099976,777.0,2773900
2015-11-23,777.469971,773.51001,776.700012,1732400
2015-11-24,772.960022,758.109985,769.630005,2394000
2015-11-25,771.690002,766.530029,769.26001,1180600
2015-11-27,769.159973,767.0,771.969971,721700
2015-11-30,771.869995,761.119995,762.849976,1679300
2015-12-01,766.940002,765.950012,783.789978,2019900
2015-12-02,785.25,776.429993,777.849976,2343800
2015-12-03,780.559998,762.450012,768.200012,2097500
2015-12-04,769.710022,765.51001,779.210022,2490000
2015-12-07,780.059998,766.719971,772.98999,1831300
2015-12-08,764.5,762.52002,775.140015,1554100
2015-12-09,771.099976,752.01001,762.549988,2327500
2015-12-10,763.590027,755.0,760.039978,1616600
2015-12-11,749.0,748.650024,750.419983,2159200
2015-12-14,751.26001,736.26001,762.539978,2693200
2015-12-15,767.789978,758.0,760.090027,2469300
2015-12-16,766.570007,757.049988,776.590027,2656000
2015-12-17,781.159973,769.299988,769.830017,1825500
2015-12-18,767.22998,756.590027,756.849976,3389700
2015-12-21,763.049988,754.150024,760.799988,1742400
2015-12-22,764.27002,761.200012,767.130005,1812900
2015-12-23,770.690002,757.650024,768.51001,1529700
2015-12-24,768.52002,764.390015,765.840027,520600
2015-12-28,770.0,767.72998,782.23999,1554300
2015-12-29,786.98999,786.200012,793.960022,1921500
2015-12-30,793.960022,787.200012,790.299988,1428300
2015-12-31,787.820007,777.320007,778.01001,1637600
2016-01-04,762.200012,747.539978,759.440002,3369100
2016-01-05,764.099976,755.650024,761.530029,2260800
2016-01-06,750.369995,748.0,759.330017,2410300
2016-01-07,746.48999,735.280029,741.0,3156600
2016-01-08,747.799988,728.919983,730.909973,2375300
2016-01-11,731.950012,719.559998,733.070007,2537900
2016-01-12,740.75,736.429993,745.340027,2340800
2016-01-13,749.340027,716.780029,719.570007,2586400
2016-01-14,724.440002,705.0,731.390015,2777900
2016-01-15,709.98999,701.51001,710.48999,3833800
2016-01-19,720.150024,709.849976,719.080017,2436200
2016-01-20,705.900024,687.780029,718.559998,4122000
2016-01-21,720.169983,711.109985,726.669983,2596900
2016-01-22,742.0,740.5,745.460022,2357300
2016-01-25,743.840027,732.5,733.619995,2267000
2016-01-26,735.210022,726.969971,733.789978,1543100
2016-01-27,735.890015,713.450012,717.580017,2121400
2016-01-28,738.190002,730.599976,748.299988,3105200
2016-01-29,748.960022,744.200012,761.349976,3790400
2016-02-01,771.26001,761.380005,770.77002,5576100
2016-02-02,800.5,780.599976,780.909973,6792300
2016-02-03,786.280029,736.26001,749.380005,6555700
2016-02-04,744.590027,722.599976,730.030029,5214800
2016-02-05,725.5,700.140015,703.76001,5477800
2016-02-08,687.679993,682.01001,704.159973,4470500
2016-02-09,692.950012,688.5,701.02002,4197900
2016-02-10,711.789978,705.390015,706.849976,3015700
2016-02-11,696.340027,691.190002,706.359985,3250200
2016-02-12,712.210022,701.580017,706.890015,2326900
2016-02-16,718.650024,710.179993,717.640015,2172200
2016-02-17,727.0,716.609985,731.969971,2457700
2016-02-18,733.960022,715.549988,717.51001,2363800
2016-02-19,715.900024,713.119995,722.109985,1745900
2016-02-22,729.51001,723.450012,729.049988,1875800
2016-02-23,726.099976,715.669983,717.289978,2066600
2016-02-24,710.609985,702.02002,720.900024,1854600
